,id,bot_score
5286,1497500883260690432,0.1
5289,1497501197062000640,0.09
5295,1497502392681517056,0.13
5297,1497502549062135808,0.08
5301,1497502717425725440,0.02
5308,1497503600884518912,0.03
5323,1497505957919739904,0.27
5334,1497507746404614144,0.27
5342,1497508582983708672,0.01
5356,1497509647816671232,0.05
5358,1497509931389362176,0.79
5375,1497511986854187008,0.75
5377,1497512323946213376,0.05
5381,1497512755623981056,0.75
5382,1497512781620285440,0.04
5383,1497512799626485760,0.27
5390,1497513459067490304,0.75
5391,1497513516193837056,0.2
5392,1497513568580767744,0.75
5394,1497513768779018240,0.75
5397,1497514046496645120,0.01
5404,1497515152056356864,0.75
5405,1497515172457451520,0.05
5406,1497515827305746432,0.75
5407,1497515983610650624,0.75
5409,1497516237189902336,0.75
5410,1497516281825619968,0.32
5413,1497516446917672960,0.75
5415,1497516665566744576,0.75
5417,1497516945440391168,0.15
5419,1497517051400765440,0.91
5422,1497517407694635008,0.04
5423,1497517554813657088,0.75
5424,1497517587688828928,0.06
5427,1497518114707161088,0.75
5429,1497518395205603328,0.36
5437,1497519655413379072,0.75
5439,1497519871097294848,0.27
5440,1497519953657962496,0.08
5441,1497519996854943744,0.06
5442,1497520367715471360,0.06
5446,1497521664740892672,0.04
5453,1497522608782422016,0.39
5456,1497523511765585920,0.06
5460,1497524324743331840,0.75
5462,1497524899933409280,0.75
5465,1497525080305274880,0.75
5469,1497525255367135232,0.75
5471,1497525436326105088,0.75
5472,1497525488461381632,0.18
5474,1497525707760566272,0.75
5476,1497525925629419520,0.75
5482,1497526413871955968,0.05
5483,1497526515176669184,0.75
5489,1497526861248667648,0.75
5491,1497527255173578752,0.05
5492,1497527312723546112,0.75
5509,1497529880681930752,0.75
5520,1497530515968036864,0.75
5534,1497531209664155648,0.16
5542,1497531596517298176,0.68
5545,1497531793204940800,0.75
5547,1497531861563846656,0.36
5552,1497532218767339520,0.75
5560,1497532464771653632,0.75
5563,1497532652324220928,0.75
5566,1497532761636171776,0.75
5571,1497533281570410496,0.75
5572,1497533381403295744,0.75
5576,1497533738305003520,0.75
5577,1497533900435824640,0.75
5582,1497534359473115136,0.28
5591,1497535076657250304,0.33
5603,1497535931519160320,0.75
5608,1497536144593985536,0.75
5615,1497536881474498560,0.75
5626,1497537764446728192,0.75
5631,1497537948639657984,0.75
5634,1497538096547516416,0.75
5639,1497538399669866496,0.75
5644,1497538844450721792,0.75
5646,1497538958653378560,0.30000000000000004
5647,1497539133660549120,0.75
5667,1497540401594519552,0.26
5676,1497541756136607744,0.8200000000000001
5679,1497542100589678592,0.17
5688,1497543082664996864,0.27
5696,1497543918119964672,0.08
