,tweet_type,bot,like_count,reply_count,retweet_count
5577,original,1.0,0,0,0
5582,original,0.0,1,0,0
5591,original,0.0,3,1,1
5603,original,1.0,0,0,0
5608,original,1.0,0,0,0
5615,original,1.0,2,0,0
5626,original,1.0,0,0,0
5631,original,1.0,0,0,0
5634,original,1.0,0,0,0
5639,original,1.0,0,0,0
5644,original,1.0,0,0,0
5646,original,0.0,0,0,0
5647,original,1.0,1,0,0
5667,original,0.0,3,0,0
5676,original,1.0,2,1,1
5679,original,0.0,0,0,0
5688,original,0.0,0,0,0
5696,original,0.0,0,1,0
5709,original,0.0,2,0,1
5730,original,0.0,0,0,0
5747,original,0.0,0,0,0
5748,original,1.0,0,0,0
