,bot,followers_count
1359,0.0,649
1360,0.0,956
1361,1.0,10862
1362,0.0,426
1363,0.0,1921
1364,1.0,60812
1365,0.0,538
1366,0.0,1823
1367,0.0,88
1368,0.0,2045
1369,0.0,6540
1370,0.0,469
1371,1.0,585
1372,0.0,1490
1373,1.0,3142
1374,1.0,2688
1375,0.0,3543
1376,0.0,326
1377,0.0,1020
1378,0.0,2803
1379,1.0,4121
1380,1.0,13176
1381,0.0,1126
1382,0.0,428
1383,0.0,4616
1384,0.0,5371
1385,1.0,2720
1386,0.0,1578
1387,1.0,4104
1388,0.0,3073
1389,0.0,8810
1390,1.0,3033
1391,0.0,3212
1392,0.0,3919
1393,1.0,1911
1394,1.0,3937
1395,0.0,12582
1396,0.0,1568
1397,1.0,3865
1398,0.0,2520
1399,0.0,691
1400,0.0,1438
1401,0.0,497
1402,0.0,21394
1403,0.0,438
1404,0.0,4356
1405,0.0,189
1406,0.0,68
1407,0.0,374
1408,0.0,31
1409,1.0,8331
1410,0.0,4147
1411,0.0,1132
1412,0.0,1888
1413,0.0,252
1414,1.0,5729
1415,0.0,1694
1416,0.0,1034
1417,0.0,415
1418,1.0,12451
1419,0.0,683
1420,0.0,115
1421,0.0,1134
1422,1.0,427
1423,0.0,196
1424,0.0,393
1425,1.0,379
1426,0.0,1299
1427,0.0,1407
1428,1.0,3158
1429,0.0,491
1430,1.0,1668
1431,0.0,2963
1432,0.0,319
1433,0.0,517
1434,0.0,219
1435,0.0,131
1436,0.0,242
1437,1.0,33109
1438,0.0,294
1440,0.0,164
1441,0.0,133
1442,0.0,4986
1443,1.0,1566
1444,0.0,763
1445,0.0,152
1446,0.0,66
1447,0.0,134045
1448,0.0,741
1449,0.0,3172
1450,0.0,4706
1451,0.0,578
1452,0.0,982
1453,0.0,834
1454,0.0,45
1455,0.0,559
1456,1.0,107
1457,0.0,76
1458,0.0,929
1459,0.0,62
1460,0.0,1333
1461,0.0,4102
1462,1.0,38969
1463,0.0,332
1464,0.0,476
1465,0.0,15114
1466,0.0,170
1467,0.0,1858
1468,0.0,67
1469,0.0,8674
1470,0.0,6212
1471,0.0,453
1472,0.0,741
1473,0.0,6034
1474,1.0,1380
1475,0.0,81
1476,0.0,399
1477,1.0,19772
1478,0.0,394
1479,0.0,363
1480,0.0,550
1481,0.0,633
1482,0.0,8743
1483,0.0,4900
1484,0.0,153
1485,0.0,155
1486,0.0,1372
1487,0.0,1429
1488,1.0,1573
1489,0.0,4458
1490,0.0,1106
1491,1.0,4812
1492,1.0,629
1493,0.0,511
1494,0.0,3747
1495,0.0,1181
1496,0.0,590
1497,0.0,4221
1498,0.0,1372
1499,0.0,201366
1500,0.0,17186
1501,1.0,4642
1502,0.0,743
1503,0.0,1216
1504,1.0,13636
1505,0.0,2941
1506,0.0,3166
1507,0.0,211
1508,1.0,1700
1509,0.0,679
1510,0.0,1514
1511,0.0,568
1512,1.0,10
1513,0.0,89
1514,1.0,3376
1515,0.0,47
1516,0.0,33
1517,0.0,1587
1518,0.0,67016
1519,0.0,1192
1520,0.0,1142
1521,0.0,190
1522,0.0,12927
1523,0.0,1007
1524,0.0,4491
1525,0.0,184
1526,0.0,4370
1527,0.0,125
1528,0.0,496
1529,0.0,930
1530,0.0,3339
1531,0.0,1401
1532,0.0,66
1533,0.0,473
1534,0.0,239
1535,0.0,2152
1536,0.0,1371
1537,0.0,5202
1538,0.0,2220
1539,1.0,1059
1540,0.0,463
1541,0.0,243
1542,0.0,48494
1543,0.0,1481
1544,0.0,31
1545,0.0,1063
1546,0.0,1442
1547,0.0,2357
1548,0.0,5124
1549,0.0,338
1550,0.0,1351
1551,0.0,919
1552,0.0,13750
1553,0.0,243
1554,1.0,1272
1555,1.0,5469
1556,0.0,298
1557,0.0,1031
1558,0.0,56
1559,0.0,1055
1560,1.0,8209
1561,0.0,1708
1562,0.0,3282
1563,0.0,2403
1564,0.0,579
1565,0.0,75
1566,0.0,5738
1567,0.0,213
1568,0.0,44
1569,0.0,1133
1570,0.0,125
1571,0.0,6103
1572,1.0,3870
1573,0.0,521
1574,1.0,35
1575,0.0,624
1576,0.0,233
1577,0.0,703
1578,0.0,1792
